case_id,local_alignment_overall,global_alignment_overall,n_alignment_rows,n_alignment_roles,n_alignment_seeds,model,alignment_group,alignment_bin_rule
D006,0.625,0.225,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
A003,0.65,0.175,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
B004,0.65,0.225,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
A008,0.675,0.225,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
A013,0.675,0.25,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
A014,0.675,0.25,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
B008,0.675,0.225,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
B038,0.675,0.25,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
A010,0.7,0.2,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
A015,0.7,0.25,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
A022,0.7,0.175,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
A024,0.7,0.225,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
B023,0.7,0.275,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
B031,0.7,0.225,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
B033,0.7,0.125,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
B037,0.7,0.275,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
C006,0.7,0.275,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
C022,0.7,0.225,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
C033,0.7,0.275,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
C037,0.7,0.25,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
D003,0.7,0.275,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
D018,0.7,0.2,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
E005,0.7,0.225,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
A001,0.725,0.3,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
A004,0.725,0.225,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
A005,0.725,0.225,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
A011,0.725,0.275,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
A012,0.725,0.25,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
A025,0.725,0.175,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
A026,0.725,0.25,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
A031,0.725,0.225,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
A032,0.725,0.225,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
A036,0.725,0.3,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
A039,0.725,0.225,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
B001,0.725,0.275,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
B006,0.725,0.275,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
B013,0.725,0.2,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
B014,0.725,0.175,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
B015,0.725,0.25,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
B019,0.725,0.225,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
B022,0.725,0.275,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
B024,0.725,0.175,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
B025,0.725,0.275,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
B026,0.725,0.2,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
B027,0.725,0.275,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
B028,0.725,0.275,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
B029,0.725,0.25,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
B030,0.725,0.275,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
C002,0.725,0.275,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
C007,0.725,0.15,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
C010,0.725,0.3,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
C012,0.725,0.25,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
C014,0.725,0.275,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
C024,0.725,0.225,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
C026,0.725,0.3,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
C027,0.725,0.25,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
C028,0.725,0.275,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
C029,0.725,0.3,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
C032,0.725,0.25,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
C036,0.725,0.25,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
D004,0.725,0.175,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
D005,0.725,0.15,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
D009,0.725,0.225,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
D037,0.725,0.225,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
E033,0.725,0.225,40,5,8,GPT-OSS,low_alignment,tie_preserving_qcut_q3_duplicates_drop
A009,0.75,0.15,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
A017,0.75,0.275,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
A018,0.75,0.225,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
A023,0.75,0.2,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
A027,0.75,0.2,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
A028,0.75,0.2,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
A030,0.75,0.225,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
A033,0.75,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
A035,0.75,0.225,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
A037,0.75,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
A040,0.75,0.225,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
B002,0.75,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
B007,0.75,0.225,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
B012,0.75,0.175,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
B016,0.75,0.225,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
B032,0.75,0.3,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
B040,0.75,0.225,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
C001,0.75,0.275,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
